"548539899","Caren Barehead","Female","[76.0, 98.0, 87.0, 26.0, 51.0, 48.0, 46.0, 35.0, 48.0, 43.0, 15.0, 31.0, 14.0, 74.0, 63.0, 93.0, 42.0, 70.0, 70.0, 16.0, 73.0, 82.0, 2.0, 43.0]","60","BSc (Hons) Web Design and Development","[08/10/2593, 26/03/2802, 12/09/4912, 05/02/8021, 09/11/2559, 03/02/5495, 23/11/4876, 07/10/3402, 07/11/9012, 09/10/2268, 15/07/7554, 02/12/2554, 18/06/4880, 23/09/5558, 15/10/4986, 23/08/4022, 10/01/4319, 16/05/3062, 25/01/8286, 25/06/6500, 19/06/8508, 17/11/2266, 28/06/7798, 11/10/7537]"
"628265305","Marcos Strawbridge","Male","[32.0, 10.0, 76.0, 33.0, 1.0, 6.0, 38.0, 28.0, 71.0, 41.0, 26.0, 92.0, 88.0, 69.0, 0.0, 9.0, 4.0, 73.0, 83.0, 74.0, 17.0, 85.0, 14.0, 86.0]","2","BSc (Hons) Computer Science and Artificial Intelligence","[17/08/4492, 17/07/4701, 16/03/6188, 17/07/5796, 23/08/3274, 12/02/6583, 17/12/4113, 16/03/4738, 27/10/5125, 15/03/2781, 18/03/8059, 05/03/4108, 25/03/5863, 23/05/2281, 17/08/2795, 02/09/5867, 15/12/5373, 08/04/6267, 08/12/4965, 04/06/9002, 16/05/8179, 16/06/6788, 23/12/7739, 03/09/8036]"
"577413777","Val Putnam","Female","[47.0, 41.0, 38.0, 62.0, 30.0, 47.0, 22.0, 76.0, 37.0, 71.0, 80.0, 87.0, 4.0, 66.0, 92.0, 43.0, 17.0, 29.0, 16.0, 36.0, 33.0, 36.0, 35.0, 27.0]","19","BEng (Hons) Intelligent Automation and Robotics","[08/02/3371, 10/09/3319, 12/05/8224, 22/01/7766, 02/01/5824, 06/11/5892, 12/08/8929, 06/03/6419, 25/01/8990, 11/02/5087, 11/10/2326, 21/09/7259, 25/10/7916, 27/10/5379, 05/02/7246, 12/10/3702, 08/06/3547, 14/07/4395, 03/01/4555, 22/02/5628, 06/05/7444, 19/02/8548, 06/05/8713, 21/01/4690]"
"107217073","Layney McGarry","Female","[5.0, 85.0, 64.0, 5.0, 66.0, 63.0, 38.0, 22.0, 91.0, 1.0, 41.0, 90.0, 4.0, 34.0, 24.0, 10.0, 51.0, 13.0, 48.0, 75.0, 65.0, 58.0, 43.0, 83.0]","80","BSc (Hons) Computer Science and Artificial Intelligence","[21/03/7046, 09/06/7877, 25/02/2870, 03/11/6885, 05/05/7389, 14/08/2920, 03/08/6292, 21/08/2125, 18/07/5550, 24/11/5078, 27/08/3297, 02/12/7371, 14/08/3512, 07/11/6027, 10/10/3702, 01/07/4798, 24/06/6539, 26/05/5542, 23/01/7816, 14/10/6769, 17/07/7034, 03/02/2722, 09/03/8999, 05/03/2415]"
"147775945","Lissy Scholard","Female","[23.0, 36.0, 58.0, 51.0, 99.0, 59.0, 93.0, 63.0, 26.0, 18.0, 43.0, 49.0, 97.0, 33.0, 26.0, 32.0, 14.0, 32.0, 15.0, 18.0, 77.0, 34.0, 44.0, 47.0]","6","BSc (Hons) Computing (Games Programming)","[22/08/4645, 05/09/4222, 24/02/6806, 01/01/5775, 04/08/5542, 20/04/7065, 13/05/4336, 11/11/5319, 16/02/3727, 24/04/4498, 14/02/5135, 16/03/7437, 17/02/5692, 25/04/7398, 25/10/7063, 14/12/2548, 11/08/7252, 07/02/8998, 15/09/3065, 09/07/5710, 07/08/8746, 20/03/4977, 18/07/3020, 19/11/8408]"
"941233498","Doralynn Crellin","Female","[22.0, 85.0, 76.0, 78.0, 24.0, 56.0, 41.0, 85.0, 17.0, 2.0, 1.0, 75.0, 18.0, 34.0, 18.0, 88.0, 37.0, 63.0, 54.0, 15.0, 95.0, 61.0, 3.0, 12.0]","30","BSc (Hons) Computing (Networking, Security and Forensics)","[05/12/8740, 13/01/4580, 03/08/6435, 13/04/4385, 25/04/7932, 07/03/7621, 23/12/3257, 01/06/8237, 01/09/2849, 03/05/3814, 19/08/8412, 12/09/6292, 23/04/3501, 15/02/5362, 05/10/6032, 26/10/3561, 15/01/8701, 18/11/7563, 11/02/3070, 22/10/2117, 22/05/2844, 14/07/7001, 27/12/4350, 16/01/8643]"
"626672574","Kennedy Lux","Male","[18.0, 63.0, 14.0, 52.0, 47.0, 12.0, 34.0, 70.0, 8.0, 6.0, 55.0, 87.0, 70.0, 88.0, 81.0, 16.0, 16.0, 55.0, 75.0, 59.0, 94.0, 90.0, 28.0, 6.0]","45","BSc (Hons) Computing (Games Programming)","[03/06/7643, 17/09/7217, 11/04/7481, 05/06/5281, 05/08/8331, 01/11/4756, 08/04/7641, 04/05/3962, 27/10/8459, 20/06/2940, 22/12/8786, 23/04/5373, 20/02/7697, 23/07/8737, 13/08/5256, 14/11/4105, 18/04/5947, 11/11/4045, 05/07/3423, 09/02/5304, 26/03/8792, 02/05/7558, 27/04/5472, 27/11/5528]"
"942332444","Tarra Knivett","Female","[38.0, 94.0, 85.0, 19.0, 40.0, 51.0, 78.0, 44.0, 3.0, 61.0, 72.0, 65.0, 2.0, 24.0, 56.0, 68.0, 74.0, 68.0, 6.0, 82.0, 95.0, 86.0, 80.0, 25.0]","14","BSc (Hons) Computer Science and Mathematics","[17/02/5321, 12/06/4262, 26/02/4735, 07/07/5985, 10/10/8038, 24/09/2196, 10/07/6384, 11/12/2672, 09/09/2141, 24/02/7401, 09/04/2625, 18/10/7779, 25/12/4134, 25/06/2520, 27/07/4000, 07/08/4619, 03/02/4013, 27/07/8940, 09/08/5561, 16/05/2476, 09/08/7562, 18/10/7115, 04/05/8256, 03/08/3117]"
"315815363","Yurik Horning","Male","[2.0, 1.0, 17.0, 92.0, 69.0, 38.0, 38.0, 5.0, 45.0, 14.0, 72.0, 71.0, 17.0, 74.0, 60.0, 85.0, 30.0, 55.0, 45.0, 23.0, 29.0, 67.0, 75.0, 82.0]","25","BSc (Hons) Computer Science and Mathematics","[19/03/8027, 20/07/5179, 19/05/4409, 05/05/7859, 22/06/4036, 07/05/4910, 27/12/3469, 15/05/8561, 06/04/4799, 01/04/6650, 11/09/6041, 16/03/7153, 03/09/2202, 17/12/3750, 08/11/8708, 15/08/5690, 15/01/6760, 09/05/7343, 19/10/4384, 15/05/3166, 09/08/2152, 26/05/8535, 18/11/7551, 23/08/2143]"
"698813501","Elaina Gowrie","Female","[0.0, 80.0, 43.0, 48.0, 50.0, 36.0, 70.0, 70.0, 61.0, 86.0, 34.0, 20.0, 99.0, 58.0, 85.0, 12.0, 35.0, 83.0, 88.0, 72.0, 87.0, 1.0, 5.0, 4.0]","51","BSc (Hons) Computer Science and Artificial Intelligence","[04/07/2206, 10/03/8685, 21/06/5214, 09/11/3979, 10/03/2981, 19/05/2997, 10/01/8104, 02/03/6569, 07/01/7837, 25/04/2581, 05/03/8794, 22/06/3733, 03/08/7976, 22/03/3219, 27/02/3225, 05/10/5938, 12/06/4504, 14/10/5538, 11/10/2576, 26/11/4299, 26/08/6145, 28/06/4010, 05/03/4187, 05/01/5498]"
